sector,contract_type,barra,months_observed,avg_industrial_exposure_score,p90_industrial_exposure_score,max_industrial_exposure_score,priority_months,watchlist_months,low_info_months,spot_share,monthly_mwh,dominant_driver,watchlist_share,profile_priority_score,signal_stability_label_es
agroindustry_seasonal,balanced_30pct_spot_ppa,SAN JOSE 500,36,39.23,47.99,51.48,0,0,0,0.3,6000,Nivel de precio,0.0,37.37,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PUERTO BRAVO 500,36,39.09,48.0,51.08,0,0,0,0.3,6000,Nivel de precio,0.0,37.25,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,DUNA HUAMBOS 34.5,31,39.02,50.64,55.37,0,0,0,0.3,6000,Nivel de precio,0.0,38.53,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHIMBOTE1 138,36,39.0,48.68,52.47,0,0,0,0.3,6000,Nivel de precio,0.0,37.59,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PUERTO BRAVO 18,36,38.98,47.85,50.96,0,0,0,0.3,6000,Nivel de precio,0.0,37.14,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHAPARRAL 138,18,38.97,48.23,50.43,0,0,0,0.3,6000,Volatilidad,0.0,37.16,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CARHUAQUERO 10_S,24,38.59,51.24,52.68,0,0,0,0.3,6000,Nivel de precio,0.0,38.08,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,LA RAMADA 220,36,38.56,49.5,51.02,0,0,0,0.3,6000,Nivel de precio,0.0,37.38,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHIMBOTE1 220,36,38.26,48.27,52.69,0,0,0,0.3,6000,Nivel de precio,0.0,37.19,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHARCANI I 33,36,37.96,47.87,51.46,0,0,0,0.3,6000,Nivel de precio,0.0,36.77,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,QUENCORO 138,36,37.89,49.73,53.24,0,0,0,0.3,6000,Nivel de precio,0.0,37.47,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,DOLORESPATA 138,36,37.65,49.57,53.08,0,0,0,0.3,6000,Nivel de precio,0.0,37.3,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,QUITARACSA 220,36,36.64,48.61,50.83,0,0,0,0.3,6000,Nivel de precio,0.0,36.27,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,MAZUCO138,36,36.47,53.03,59.62,0,0,0,0.3,6000,Volatilidad,0.0,38.61,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CACHIMAYO 138,36,36.33,48.15,52.59,0,0,0,0.3,6000,Nivel de precio,0.0,36.27,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SAN NICOLAS 13.8,36,36.0,44.86,58.12,0,0,0,0.3,6000,Prima de estrés,0.0,36.13,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,ZAÑA 60,36,35.72,49.05,55.03,0,0,0,0.3,6000,Nivel de precio,0.0,36.59,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,AGUAYTIA 138,36,35.48,48.94,53.38,0,0,0,0.3,6000,Nivel de precio,0.0,36.21,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,TINGO MARIA 138,36,35.3,47.52,50.21,0,0,0,0.3,6000,Nivel de precio,0.0,35.3,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,AGUAYTIA 22.9,36,35.11,48.45,52.54,0,0,0,0.3,6000,Nivel de precio,0.0,35.8,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,AGUAYTIA 220,36,34.84,48.2,52.22,0,0,0,0.3,6000,Nivel de precio,0.0,35.56,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PURMACANA 20,36,34.82,46.56,51.5,0,0,0,0.3,6000,Nivel de precio,0.0,35.04,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SAN MARTIN 220,9,34.65,40.35,41.56,0,0,0,0.3,6000,Volatilidad,0.0,31.91,Variable
